X3X2X1X0/Q3Q2Q1Q0;0000;0001;0011;0010;0110;0111;0101;0100;1100;1101;1111;1110;1010;1011;1001;1000
0000;0;0;1;1;1;1;0;0;0;1;1;0;0;0;1;1
0001;0;0;1;1;0;0;1;1;0;0;1;1;x;x;x;x
0011;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
0010;0;1;1;0;0;1;1;0;x;x;x;x;1;1;0;0
0110;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
0111;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
0101;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
0100;1;1;0;0;1;1;0;0;x;x;x;x;x;x;x;x
1100;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
1101;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
1111;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
1110;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
1010;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
1011;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
1001;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
1000;0;0;1;1;0;0;1;1;x;x;x;x;x;x;x;x
